uf60,code_muni_1960,name_muni_1960,ordem,name_district_1960,pop_total,pop_urbana,pop_rural,domicilios,pagina,nota
81,8312,Horizontina,0,Horizontina,19588,2818,16770,,,municipio em que os codigos do livro nao sobem com as linhas
81,8312,Horizontina,1,Horizontina,6778,1551,5227,,,municipio em que os codigos do livro nao sobem com as linhas
81,8312,Horizontina,2,Cascata,2309,208,2101,,,municipio em que os codigos do livro nao sobem com as linhas
81,8312,Horizontina,3,Doutor Maurício Cardoso,4483,618,3865,,,municipio em que os codigos do livro nao sobem com as linhas
81,8312,Horizontina,4,Pitanga,3156,178,2978,,,municipio em que os codigos do livro nao sobem com as linhas
81,8312,Horizontina,5,Pranchada,2862,263,2599,,,municipio em que os codigos do livro nao sobem com as linhas
81,8319,Santa Rosa,0,Santa Rosa,45871,14714,31157,,,municipio em que os codigos do livro nao sobem com as linhas
81,8319,Santa Rosa,1,Santa Rosa,22040,12283,9757,,,municipio em que os codigos do livro nao sobem com as linhas
81,8319,Santa Rosa,2,Campina,7785,360,7425,,,municipio em que os codigos do livro nao sobem com as linhas
81,8319,Santa Rosa,3,Cândido Godói,5974,187,5787,,,municipio em que os codigos do livro nao sobem com as linhas
81,8319,Santa Rosa,4,Cruzeiro,5888,1708,4180,,,municipio em que os codigos do livro nao sobem com as linhas
81,8319,Santa Rosa,5,Sete de Setembro,4184,176,4008,,,municipio em que os codigos do livro nao sobem com as linhas
81,8322,São Valentim,0,São Valentim,13341,909,12432,,,municipio em que os codigos do livro nao sobem com as linhas
81,8322,São Valentim,1,São Valentim,4987,528,4459,,,municipio em que os codigos do livro nao sobem com as linhas
81,8322,São Valentim,2,Benjamin Constant,3531,217,3314,,,municipio em que os codigos do livro nao sobem com as linhas
81,8322,São Valentim,3,Faxinalzinho,4823,164,4659,,,municipio em que os codigos do livro nao sobem com as linhas
81,8325,Tenente Portela,0,Tenente Portela,39261,5216,34045,,,municipio em que os codigos do livro nao sobem com as linhas
81,8325,Tenente Portela,1,Tenente Portela,16288,3966,12322,,,municipio em que os codigos do livro nao sobem com as linhas
81,8325,Tenente Portela,2,Derrubadas,8416,597,7819,,,municipio em que os codigos do livro nao sobem com as linhas
81,8325,Tenente Portela,3,Miraguaí,7282,366,6916,,,municipio em que os codigos do livro nao sobem com as linhas
81,8325,Tenente Portela,4,Vista Gaúcha,7275,287,6988,,,municipio em que os codigos do livro nao sobem com as linhas
81,8328,Três de Maio,0,Três de Maio,38555,5943,32612,,,municipio em que os codigos do livro nao sobem com as linhas
81,8328,Três de Maio,1,Três de Maio,8710,4071,4639,,,municipio em que os codigos do livro nao sobem com as linhas
81,8328,Três de Maio,2,Consolata,3474,222,3252,,,municipio em que os codigos do livro nao sobem com as linhas
81,8328,Três de Maio,3,Independência,8437,284,8153,,,municipio em que os codigos do livro nao sobem com as linhas
81,8328,Três de Maio,4,Ivagaci,4911,421,4490,,,municipio em que os codigos do livro nao sobem com as linhas
81,8328,Três de Maio,5,Progresso,2481,116,2365,,,municipio em que os codigos do livro nao sobem com as linhas
81,8328,Três de Maio,6,Quaraim,2291,76,2215,,,municipio em que os codigos do livro nao sobem com as linhas
81,8328,Três de Maio,7,Rincão da Alegria,4053,352,3701,,,municipio em que os codigos do livro nao sobem com as linhas
81,8328,Três de Maio,8,São José do Inhacorá,4198,401,3797,,,municipio em que os codigos do livro nao sobem com as linhas
81,8355,Júlio de Castilhos,0,Júlio de Castilhos,29174,8493,20681,,,municipio em que os codigos do livro nao sobem com as linhas
81,8355,Júlio de Castilhos,1,Júlio de Castilhos,9550,6438,3112,,,municipio em que os codigos do livro nao sobem com as linhas
81,8355,Júlio de Castilhos,2,Canhemborá,3759,113,3646,,,municipio em que os codigos do livro nao sobem com as linhas
81,8355,Júlio de Castilhos,3,Ivorá,4558,578,3980,,,municipio em que os codigos do livro nao sobem com as linhas
81,8355,Júlio de Castilhos,4,Nova Palma,3922,862,3060,,,municipio em que os codigos do livro nao sobem com as linhas
81,8355,Júlio de Castilhos,5,Pinhal Grande,3721,292,3429,,,municipio em que os codigos do livro nao sobem com as linhas
81,8355,Júlio de Castilhos,6,Quevedos,3664,210,3454,,,municipio em que os codigos do livro nao sobem com as linhas
81,8406,Encantado,0,Encantado,35193,6746,28447,,,municipio em que os codigos do livro nao sobem com as linhas
81,8406,Encantado,1,Encantado,12263,4581,7682,,,municipio em que os codigos do livro nao sobem com as linhas
81,8406,Encantado,2,Anta Gorda,6729,549,6180,,,municipio em que os codigos do livro nao sobem com as linhas
81,8406,Encantado,3,Ilópolis,3237,699,2538,,,municipio em que os codigos do livro nao sobem com as linhas
81,8406,Encantado,4,Itapuca,1453,0,1453,,,municipio em que os codigos do livro nao sobem com as linhas
81,8406,Encantado,5,Putinga,6335,481,5854,,,municipio em que os codigos do livro nao sobem com as linhas
81,8406,Encantado,6,Relvado,5176,436,4740,,,municipio em que os codigos do livro nao sobem com as linhas
