quesito,variavel,codigo,rotulo,grupo,subgrupo,pagina,nota
V,V221,184,Contadores e guarda-livros,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Ocupações relativas ao funcionamento de escritórios,9,
V,V221,185,Despachantes (regularização de documentos),"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Ocupações relativas ao funcionamento de escritórios,9,
V,V221,186,Almoxarifes e armazenistas,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Ocupações relativas ao funcionamento de escritórios,9,
V,V221,187,Datilógrafos,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Ocupações relativas ao funcionamento de escritórios,9,
V,V221,188,Taquígrafos,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Ocupações relativas ao funcionamento de escritórios,9,
V,V221,189,Operadores de apuração mecânica,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Ocupações relativas ao funcionamento de escritórios,9,
V,V221,191,Auxiliares de escritório e de administração em geral,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Ocupações relativas ao funcionamento de escritórios,9,
V,V221,211,Engenheiros,"2. Ocupações técnicas, científicas e trabalhadores afins",Engenheiros e atividades auxiliares,10,
V,V221,212,Arquitetos,"2. Ocupações técnicas, científicas e trabalhadores afins",Engenheiros e atividades auxiliares,10,
V,V221,213,Agrimensores e topógrafos,"2. Ocupações técnicas, científicas e trabalhadores afins",Engenheiros e atividades auxiliares,10,
V,V221,214,Desenhistas e cartógrafos,"2. Ocupações técnicas, científicas e trabalhadores afins",Engenheiros e atividades auxiliares,10,
V,V221,215,Químicos,"2. Ocupações técnicas, científicas e trabalhadores afins",Químicos e atividades auxiliares,10,
V,V221,216,Farmacêuticos,"2. Ocupações técnicas, científicas e trabalhadores afins",Químicos e atividades auxiliares,10,
V,V221,217,Práticos de farmácia,"2. Ocupações técnicas, científicas e trabalhadores afins",Químicos e atividades auxiliares,10,
V,V221,218,Laboratoristas,"2. Ocupações técnicas, científicas e trabalhadores afins",Químicos e atividades auxiliares,10,
V,V221,221,Agrônomos,"2. Ocupações técnicas, científicas e trabalhadores afins","Agrônomos, veterinários e naturalistas",10,
V,V221,222,Veterinários,"2. Ocupações técnicas, científicas e trabalhadores afins","Agrônomos, veterinários e naturalistas",10,
V,V221,223,Naturalistas,"2. Ocupações técnicas, científicas e trabalhadores afins","Agrônomos, veterinários e naturalistas",10,
V,V221,231,Médicos,"2. Ocupações técnicas, científicas e trabalhadores afins",Médicos e dentistas,10,
V,V221,232,Dentistas,"2. Ocupações técnicas, científicas e trabalhadores afins",Médicos e dentistas,10,
V,V221,241,Assistentes sociais,"2. Ocupações técnicas, científicas e trabalhadores afins",Atividades auxiliares da medicina e odontologia,10,
V,V221,242,Parteiras,"2. Ocupações técnicas, científicas e trabalhadores afins",Atividades auxiliares da medicina e odontologia,10,
V,V221,243,Enfermeiros e massagistas,"2. Ocupações técnicas, científicas e trabalhadores afins",Atividades auxiliares da medicina e odontologia,10,
V,V221,244,Protéticos,"2. Ocupações técnicas, científicas e trabalhadores afins",Atividades auxiliares da medicina e odontologia,10,
V,V221,245,Operadores de raios X e ortopedistas práticos,"2. Ocupações técnicas, científicas e trabalhadores afins",Atividades auxiliares da medicina e odontologia,10,
V,V221,251,Matemáticos e físicos,"2. Ocupações técnicas, científicas e trabalhadores afins","Cientistas, professores e atividades auxiliares",10,
V,V221,252,Professores primários,"2. Ocupações técnicas, científicas e trabalhadores afins","Cientistas, professores e atividades auxiliares",10,
V,V221,253,Professores secundários,"2. Ocupações técnicas, científicas e trabalhadores afins","Cientistas, professores e atividades auxiliares",10,
V,V221,254,Professores superiores,"2. Ocupações técnicas, científicas e trabalhadores afins","Cientistas, professores e atividades auxiliares",10,
V,V221,255,Professores sem especificação,"2. Ocupações técnicas, científicas e trabalhadores afins","Cientistas, professores e atividades auxiliares",10,
V,V221,256,"Sociólogos, economistas, atuários e estatísticos","2. Ocupações técnicas, científicas e trabalhadores afins","Cientistas, professores e atividades auxiliares",10,
V,V221,257,Inspetores de alunos,"2. Ocupações técnicas, científicas e trabalhadores afins","Cientistas, professores e atividades auxiliares",10,
V,V221,261,Magistrados,"2. Ocupações técnicas, científicas e trabalhadores afins","Magistratura, advocacia, Ministério Público e atividades auxiliares",10,
V,V221,262,"Procuradores, promotores e curadores públicos","2. Ocupações técnicas, científicas e trabalhadores afins","Magistratura, advocacia, Ministério Público e atividades auxiliares",10,
V,V221,263,Advogados e defensores públicos,"2. Ocupações técnicas, científicas e trabalhadores afins","Magistratura, advocacia, Ministério Público e atividades auxiliares",10,
V,V221,264,Tabeliães e oficiais de registro,"2. Ocupações técnicas, científicas e trabalhadores afins","Magistratura, advocacia, Ministério Público e atividades auxiliares",10,
V,V221,265,Escrivães e auxiliares de justiça,"2. Ocupações técnicas, científicas e trabalhadores afins","Magistratura, advocacia, Ministério Público e atividades auxiliares",10,
