uf60,code_muni_1960,name_muni_1960,code_district_1960,domicilios
52,5305,Niterói,3,188
52,5262,Engenheiro Paulo de Frontin,3,188
14,1590,Iracema,3,187
40,4340,Virginópolis,11,187
60,6030,São José dos Campos,3,187
14,1460,Aracoiaba,5,186
40,4010,João Pinheiro,5,186
52,5322,Parati,3,186
81,8411,Lajeado,5,186
40,4049,Caldas,3,185
40,4300,Açucena,3,185
71,7148,Tibagi,3,185
31,3341,Curaçá,5,184
31,3358,Sento Sé,5,184
19,2011,Bonito de Santa Fé,3,184
21,2216,Tabira,3,184
60,6356,Ituverava,5,184
31,3367,Santa Maria da Vitória,3,183
71,7153,Campo Largo,13,183
71,7201,Irati,7,183
52,5303,Magé,11,183
31,3304,Gentio do Ouro,5,182
40,4723,Itapecerica,5,182
19,1955,Monteiro,3,182
71,7256,Querência do Norte,3,182
30,3092,Riachão do Dantas,3,182
31,3303,Barra do Mendes,3,181
40,4222,Curvelo,11,181
40,4338,Tarumirim,3,181
19,2010,Antenor Navarro,5,181
71,7209,União da Vitória,3,181
71,7309,Bela Vista do Paraíso,3,181
31,3137,Ilhéus,17,180
31,3137,Ilhéus,21,180
71,7153,Campo Largo,3,180
71,7322,Guaraci,5,180
52,5226,Santo Antônio de Pádua,13,180
81,8133,Sananduva,5,180
31,3384,Senhor do Bonfim,3,179
14,1430,Reriutaba,3,179
19,1951,Carnoió,3,179
19,1994,Teixeira,5,179
71,7121,Guarapuava,19,179
71,7241,Loanda,3,178
71,7253,Pato Branco,3,178
81,8208,Guaporé,11,178
14,1645,Crato,3,177
19,1962,Soledade,7,177
81,8131,Lagoa Vermelha,9,177
14,1413,Canindé,3,176
40,4255,Salto da Divisa,3,176
19,2010,Antenor Navarro,7,176
71,7143,Lapa,7,176
81,8357,Não-Me-Toque,5,176
31,3310,Morro do Chapéu,17,175
31,3325,Igaporã,3,175
31,3373,Cotegipe,13,175
14,1513,Beberibe,5,175
14,1540,Boa Viagem,3,175
40,4434,Leopoldina,5,175
40,4528,Caeté,13,175
19,1976,Patos,5,175
71,7237,Guaíra,9,175
40,4743,Pitangui,3,174
71,7191,Imbituva,5,174
81,8408,Estrela,7,174
40,4210,Bocaiúva,9,173
