uf60,code_muni_1960,name_muni_1960,code_district_1960,name_district_1960,name_bairro_1960,tipo,zona_cod,zona,pagina,fonte
19,2044,Cuité,01,Cuité,,distrito,204,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2045,Nova Floresta,01,Nova Floresta,,distrito,204,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2046,Pocinhos,01,Pocinhos,,distrito,204,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2047,Tacima,01,Tacima,,distrito,204,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
21,2110,Água Preta,01,Água Preta,,distrito,,Zona do Litoral,66,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2111,Aliança,01,Aliança,,distrito,,Zona do Litoral,66,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2111,Aliança,03,Macujê,,distrito,,Zona do Litoral,66,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2112,Amaraji,01,Amaraji,,distrito,,Zona do Litoral,66,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2112,Amaraji,03,Primavera de Santo Antônio,,distrito,,Zona do Litoral,66,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2113,Barreiros,01,Barreiros,,distrito,,Zona do Litoral,66,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2113,Barreiros,03,Carimã,,distrito,,Zona do Litoral,66,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2113,Barreiros,07,Iuiteporá,,distrito,,Zona do Litoral,66,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2114,Bonito,01,Bonito,,distrito,211,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
21,2115,Cabo,01,Cabo,,distrito,,Zona do Litoral,66,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2115,Cabo,03,Juçartal,,distrito,,Zona do Litoral,66,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2115,Cabo,05,Fonte dos Carvalhos,,distrito,,Zona do Litoral,66,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2115,Cabo,07,Santo Agostinho,,distrito,,Zona do Litoral,66,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2116,Carpina,01,Carpina,,distrito,,Zona do Litoral,66,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
21,2117,Catende,01,Catende,,distrito,,Zona do Litoral,66,OCR (Tesseract por) do Código de Municípios e Distritos de 1960; código do município conferido pela DTB ()
