"linha","linha_familia","texto_original","texto_corrigido","texto_familia_original","texto_familia_corrigido","fonte_25","linha_pessoa_25","linha_familia_25","justificativa"
"427046","427043","4042200541482164332813354169200015200644070734-       \0068157","4042200541482164332813354169200015200644070734-       \0068157","4042200541482164111478389680207003                    \0068157","4042200541482164111478389680207003                    \0068157","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","969795","969793","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"427047","427043","4042200541482164332911154169200005200000000035-       \0068157","4042200541482164332911154169200005200000000035-       \0068157","4042200541482164111478389680207003                    \0068157","4042200541482164111478389680207003                    \0068157","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","969798","969793","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"427048","427043","404220054148216433191155416920001520000000003332321200\0068157","404220054148216433191155416920001520000000003332321200\0068157","4042200541482164111478389680207003                    \0068157","4042200541482164111478389680207003                    \0068157","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","969796","969793","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"427049","427043","4042200541482164336411054169200005200000000035-       \0068157","4042200541482164336411054169200005200000000035-       \0068157","4042200541482164111478389680207003                    \0068157","4042200541482164111478389680207003                    \0068157","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","969804","969793","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"427050","427043","40422005414821643329109541692000200-                  \0068157","40422005414821643329109541692000200-                  \0068157","4042200541482164111478389680207003                    \0068157","4042200541482164111478389680207003                    \0068157","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","969799","969793","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"427051","427043","40422005414821643319006541692000-                     \0068157","40422005414821643319006541692000-                     \0068157","4042200541482164111478389680207003                    \0068157","4042200541482164111478389680207003                    \0068157","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","969802","969793","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"427052","427043","40422005414821643329105541692000311-                  \0068157","40422005414821643329105541692000311-                  \0068157","4042200541482164111478389680207003                    \0068157","4042200541482164111478389680207003                    \0068157","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","969800","969793","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"427053","427043","4042200541482164336411357169200005200000000035-       \0068157","4042200541482164336411357169200005200000000035-       \0068157","4042200541482164111478389680207003                    \0068157","4042200541482164111478389680207003                    \0068157","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","969803","969793","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"427054","427043","4042200541482164331911354169200005200000000035-       \0068157","4042200541482164331911354169200005200000000035-       \0068157","4042200541482164111478389680207003                    \0068157","4042200541482164111478389680207003                    \0068157","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","969797","969793","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"431444","434480","40423303416322243519102541692000-                     \0068836","40423303416322243519102541692000-                     \0068836","4042331341632224151578389680207004                    \0069284","4042331341632224151578389680207004                    \0069284","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","1071477","1071471","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
