uf60,nome_uf,zona_cod,zona,code_muni_1960,name_muni_1960,code_district_1960,name_district_1960,duvida,pagina
3,Pará,053,Zona do Jacundá - Pacajá,531,PORTEL,3,Melgaço,False,14
3,Pará,042,Zona do Gurupi,420,VISEU,1,Viseu,False,14
3,Pará,042,Zona do Gurupi,420,VISEU,3,Camiranga,False,14
3,Pará,042,Zona do Gurupi,420,VISEU,5,Fernandes Belo,False,14
3,Pará,042,Zona do Gurupi,420,VISEU,7,São José do Gurupi,False,14
3,Pará,042,Zona do Gurupi,420,VISEU,9,São José do Piriá,False,14
3,Pará,048049,Zona do Baixo Amazonas,480,ALENQUER,1,Alenquer,False,14
3,Pará,048049,Zona do Baixo Amazonas,480,ALENQUER,3,Curuá,False,14
3,Pará,048049,Zona do Baixo Amazonas,481,ALMEIRIM,1,Almeirim,False,14
3,Pará,048049,Zona do Baixo Amazonas,481,ALMEIRIM,3,Arumanduba,False,14
3,Pará,048049,Zona do Baixo Amazonas,482,FARO,1,Faro,False,14
3,Pará,048049,Zona do Baixo Amazonas,482,FARO,3,Terra Santa,False,14
3,Pará,048049,Zona do Baixo Amazonas,483,JURUTI,1,Juruti,False,14
3,Pará,048049,Zona do Baixo Amazonas,484,MONTE ALEGRE,1,Monte Alegre,False,14
3,Pará,048049,Zona do Baixo Amazonas,485,ÓBIDOS,1,Óbidos,False,15
3,Pará,048049,Zona do Baixo Amazonas,486,ORIXIMINÁ,1,Oriximiná,False,15
3,Pará,048049,Zona do Baixo Amazonas,487,PÔRTO DE MOZ,1,Pôrto de Moz,False,15
3,Pará,048049,Zona do Baixo Amazonas,487,PÔRTO DE MOZ,3,Sousel,False,15
3,Pará,048049,Zona do Baixo Amazonas,487,PÔRTO DE MOZ,5,Veiros,False,15
3,Pará,048049,Zona do Baixo Amazonas,487,PÔRTO DE MOZ,7,Vilarinho do Monte,False,15
3,Pará,048049,Zona do Baixo Amazonas,488,PRAINHA,1,Prainha,False,15
3,Pará,048049,Zona do Baixo Amazonas,488,PRAINHA,3,Pacoval,False,15
3,Pará,048049,Zona do Baixo Amazonas,489,SANTARÉM,1,Santarém,False,15
3,Pará,048049,Zona do Baixo Amazonas,489,SANTARÉM,3,Alter do Chão,False,15
3,Pará,048049,Zona do Baixo Amazonas,489,SANTARÉM,5,Aveiro,False,15
3,Pará,048049,Zona do Baixo Amazonas,489,SANTARÉM,7,Belterra,False,15
3,Pará,048049,Zona do Baixo Amazonas,489,SANTARÉM,9,Boim,False,15
3,Pará,048049,Zona do Baixo Amazonas,489,SANTARÉM,11,Curuai,False,15
3,Pará,045,Zona de Itacaiunas,450,ITUPIRANGA,1,Itupiranga,False,15
3,Pará,045,Zona de Itacaiunas,450,ITUPIRANGA,3,Jacundá,False,15
3,Pará,045,Zona de Itacaiunas,451,MARABÁ,1,Marabá,False,15
3,Pará,045,Zona de Itacaiunas,451,MARABÁ,3,Santa Isabel do Araguaia,False,15
3,Pará,045,Zona de Itacaiunas,451,MARABÁ,5,São João do Araguaia,False,15
3,Pará,047,Zona do Rio Xingu,470,ALTAMIRA,1,Altamira,False,15
3,Pará,047,Zona do Rio Xingu,470,ALTAMIRA,3,Gradaús,False,15
3,Pará,046,Zona do Planalto,460,CONCEIÇÃO DO ARAGUAIA,1,Conceição do Araguaia,False,16
3,Pará,046,Zona do Planalto,460,CONCEIÇÃO DO ARAGUAIA,3,Santa Maria das Barreiras,False,16
3,Pará,051,Zona do Tapajós,510,ITAITUBA,1,Itaituba,False,16
3,Pará,051,Zona do Tapajós,510,ITAITUBA,3,Brasília Legal,False,16
6,Território do Amapá,061,Zona de Mazagão,610,MAZAGÃO,1,Mazagão,False,17
6,Território do Amapá,061,Zona de Mazagão,610,MAZAGÃO,3,Bôca do Jari,False,17
6,Território do Amapá,061,Zona de Mazagão,610,MAZAGÃO,5,Mazagão Velho,False,17
6,Território do Amapá,062,Zona de Amapá - Macapá,620,AMAPÁ,1,Amapá,False,17
6,Território do Amapá,062,Zona de Amapá - Macapá,620,AMAPÁ,3,Aporema,False,17
6,Território do Amapá,062,Zona de Amapá - Macapá,620,AMAPÁ,5,Sucuriju,False,17
6,Território do Amapá,062,Zona de Amapá - Macapá,621,CALÇOENE,1,Calçoene,False,17
6,Território do Amapá,062,Zona de Amapá - Macapá,621,CALÇOENE,3,Cunani,False,17
6,Território do Amapá,062,Zona de Amapá - Macapá,621,CALÇOENE,5,Lourenço,False,17
6,Território do Amapá,062,Zona de Amapá - Macapá,622,MACAPÁ,1,Macapá,False,17
6,Território do Amapá,062,Zona de Amapá - Macapá,622,MACAPÁ,3,Bailique,False,17
6,Território do Amapá,062,Zona de Amapá - Macapá,622,MACAPÁ,5,Ferreira Gomes,False,17
6,Território do Amapá,062,Zona de Amapá - Macapá,622,MACAPÁ,7,Pôrto Grande [17.19],False,17
6,Território do Amapá,062,Zona de Amapá - Macapá,622,MACAPÁ,9,Serra do Navio,False,17
6,Território do Amapá,063,Zona do Oiapoque,630,OIAPOQUE,1,Oiapoque,False,17
6,Território do Amapá,063,Zona do Oiapoque,630,OIAPOQUE,3,Clevelândia do Norte,False,17
6,Território do Amapá,063,Zona do Oiapoque,630,OIAPOQUE,5,Vila Velha,False,17
6,Maranhão,101,Zona do Litoral Norte,1010,ALCÂNTARA,1,Alcântara,False,18
6,Maranhão,101,Zona do Litoral Norte,1010,ALCÂNTARA,3,São João de Côrtes,False,18
6,Maranhão,101,Zona do Litoral Norte,1011,BEQUIMÃO,1,Bequimão,False,18
6,Maranhão,101,Zona do Litoral Norte,1012,CURURUPU,1,Cururupu,False,18
6,Maranhão,101,Zona do Litoral Norte,1013,GUIMARÃES,1,Guimarães,False,18
6,Maranhão,101,Zona do Litoral Norte,1013,GUIMARÃES,3,Mirinzal,False,18
6,Maranhão,101,Zona do Litoral Norte,1013,GUIMARÃES,5,Muiraneu,False,18
6,Maranhão,101,Zona do Litoral Norte,1014,RIBAMAR,1,Ribamar,False,18
6,Maranhão,101,Zona do Litoral Norte,1014,RIBAMAR,3,Mata,False,18
6,Maranhão,101,Zona do Litoral Norte,1014,RIBAMAR,5,Paço do Lumiar,False,18
6,Maranhão,101,Zona do Litoral Norte,1015,SÃO LUÍS,1,São Luís,False,18
6,Maranhão,101,Zona do Litoral Norte,1015,SÃO LUÍS,3,Anil,False,18
6,Maranhão,102103,Zona da Baixada,1020,ANAJATUBA,1,Anajatuba,False,18
6,Maranhão,102103,Zona da Baixada,1020,ANAJATUBA,3,Pôrto das Gabarras,False,18
6,Maranhão,102103,Zona da Baixada,1021,CAJAPIÓ,1,Cajapió,False,18
6,Maranhão,102103,Zona da Baixada,1021,CAJAPIÓ,3,Bacurituba,False,18
6,Maranhão,102103,Zona da Baixada,1022,CAJARI,1,Cajari,False,18
6,Maranhão,102103,Zona da Baixada,1022,CAJARI,3,Boa Vista do Pindaré,False,18
6,Maranhão,102103,Zona da Baixada,1023,MATINHA,1,Matinha,False,18
6,Maranhão,102103,Zona da Baixada,1024,PENALVA [19.1],1,Penalva,False,19
6,Maranhão,102103,Zona da Baixada,1025,PERI-MIRIM,1,Peri-Mirim,False,19
6,Maranhão,102103,Zona da Baixada,1026,PINHEIRO,1,Pinheiro,False,19
6,Maranhão,102103,Zona da Baixada,1026,PINHEIRO,3,Roque,False,19
6,Maranhão,102103,Zona da Baixada,1027,ROSÁRIO,1,Rosário,False,19
6,Maranhão,102103,Zona da Baixada,1028,SANTA HELENA,1,Santa Helena,False,19
6,Maranhão,102103,Zona da Baixada,1028,SANTA HELENA,3,Curva Grande,False,19
6,Maranhão,102103,Zona da Baixada,1029,SÃO BENTO,1,São Bento,False,19
6,Maranhão,102103,Zona da Baixada,1030,SÃO JOÃO BATISTA,1,São João Batista,False,19
6,Maranhão,102103,Zona da Baixada,1031,SÃO VICENTE FERRER,1,São Vicente Ferrer,False,19
6,Maranhão,102103,Zona da Baixada,1032,VIANA,1,Viana,False,19
6,Maranhão,104,Zona do Baixo Mearim,1040,ARARI,1,Arari,False,19
6,Maranhão,104,Zona do Baixo Mearim,1040,ARARI,3,Bonfim do Arari,False,19
