dataset,coluna,tipo_atual,tipo_alvo,n,nonnum,frac,lz,mn,mx
1980_population,V532,int32,int32,10500850,0,0,0,11,902
1980_population,V533,int32,int32,10500850,0,0,0,0,9
1980_population,V534,int32,int32,10500850,0,0,0,2,9
1980_population,V535,int32,int32,10500850,0,0,0,1,9
1980_population,V536,int32,int32,10500850,0,0,0,0,9
1980_population,V540,int32,int32,10500850,0,0,0,0,9
1980_population,V541,int32,int32,10500850,0,0,0,1,6
1980_population,V542,int32,int32,130973,0,0,0,1,927
1980_population,V544,int32,int32,130973,0,0,0,11,902
1980_population,V545,int32,int32,130973,0,0,0,0,9
1980_population,V550,int32,int32,29378753,0,0,0,0,99
1980_population,V551,int32,int32,29378753,0,0,0,0,99
1980_population,V552,int32,int32,29378753,0,0,0,0,99
1980_population,V553,int32,int32,29378753,0,0,0,0,99
1980_population,V554,int32,int32,29378753,0,0,0,0,99
1980_population,V555,int32,int32,29378753,0,0,0,0,99
1980_population,V556,int32,int32,29378753,0,0,0,0,99
1980_population,V557,int32,int32,29378753,0,0,0,0,999
1980_population,V570,int32,int32,29378753,0,0,0,0,999
1980_population,V598,int32,int32,29378753,0,0,0,0,1
1980_population,V6,int32,int32,29378753,0,0,0,5,90
1980_population,V601,int32,int32,29378753,0,0,0,0,6886882
1980_population,V602,int32,int32,29026948,0,0,0,0,999999
1980_population,V603,int32,int32,29378753,0,0,0,0,21
1980_population,V604,int32,int32,29378753,0,0,0,0,25
1980_population,V605,int32,int32,29378753,0,0,0,0,99
1980_population,V606,int32,int32,29378753,0,0,0,0,999
1980_population,V607,int32,int32,29378753,0,0,0,0,9999999
1980_population,V608,int32,int32,29378753,0,0,0,0,9999999
1980_population,V609,int32,int32,29378753,0,0,0,0,9999999
1980_population,V610,int32,int32,29378753,0,0,0,0,9999999
1980_population,V611,int32,int32,29378753,0,0,0,0,9999999
1980_population,V612,int32,int32,29378753,0,0,0,0,9999999
1980_population,V613,int32,int32,29378753,0,0,0,0,9999999
1980_population,V680,int32,int32,10500850,0,0,0,0,99
1980_population,V681,int32,int32,21762082,0,0,0,0,99
1980_population,V682,int32,int32,10500850,0,0,0,0,99
1980_population,idpessoa,int32,int32,29378753,0,0,0,1,29378753
1991_households,code_region,int32,int32,4024543,0,0,0,1,5
1991_households,name_region,string,string,4024543,4024543,0,0,,
1991_households,code_state,int32,int32,4024543,0,0,0,11,53
1991_households,abbrev_state,string,string,4024543,4024543,0,0,,
1991_households,name_state,string,string,4024543,4024543,0,0,,
1991_households,code_meso,int32,int32,4024543,0,0,0,1,15
1991_households,code_micro,int32,int32,4024543,0,0,0,1,66
1991_households,code_metro,int32,int32,4024543,0,0,0,0,9
1991_households,code_muni,int32,int32,4024543,0,0,0,1100015,5300108
1991_households,V0098,int32,int32,4024543,0,0,0,0,0
1991_households,V0099,int32,int32,4024543,0,0,0,1,1
1991_households,V0102,int32,int32,4024543,0,0,0,110001001,530237160
1991_households,V0109,int32,int32,4024543,0,0,0,1,9995
1991_households,V0111,int32,int32,4024543,0,0,0,0,31
1991_households,V0112,int32,int32,4024543,0,0,0,0,19
1991_households,V0201,int32,int32,4024543,0,0,0,1,3
1991_households,V0202,int32,int32,3948914,0,0,0,1,7
1991_households,V0203,int32,int32,3948914,0,0,0,1,6
1991_households,V0204,int32,int32,3948914,0,0,0,1,8
1991_households,V0205,int32,int32,3948914,0,0,0,1,6
1991_households,V0206,int32,int32,3948914,0,0,0,0,7
1991_households,V0207,int32,int32,3948914,0,0,0,0,2
1991_households,V0208,int32,int32,3948914,0,0,0,1,6
1991_households,V0209,int32,int32,3948914,0,0,0,0,999999
1991_households,V0210,int32,int32,3948914,0,0,0,0,6
1991_households,V0211,int32,int32,3948914,0,0,0,1,30
1991_households,V0212,int32,int32,3948914,0,0,0,0,8
1991_households,V0213,int32,int32,3948914,0,0,0,0,5
1991_households,V0214,int32,int32,3948914,0,0,0,1,7
1991_households,V0216,int32,int32,3948914,0,0,0,0,1
1991_households,V0217,int32,int32,3948914,0,0,0,0,2
1991_households,V0218,int32,int32,3948914,0,0,0,0,3
1991_households,V0219,int32,int32,3948914,0,0,0,0,2
1991_households,V0220,int32,int32,3948914,0,0,0,0,1
1991_households,V0221,int32,int32,3948914,0,0,0,1,4
1991_households,V0222,int32,int32,3341528,0,0,0,0,2
1991_households,V0223,int32,int32,3341528,0,0,0,0,1
1991_households,V0224,int32,int32,3341528,0,0,0,0,3
1991_households,V0225,int32,int32,3341528,0,0,0,0,1
1991_households,V0226,int32,int32,3341528,0,0,0,0,1
1991_households,V0227,int32,int32,3341528,0,0,0,0,1
1991_households,V1061,int32,int32,4024543,0,0,0,1,8
1991_households,V1101,int32,int32,4024543,0,0,0,11,53
1991_households,V1102,int32,int32,4024543,0,0,0,1,7220
1991_households,V2012,int32,int32,4023112,0,0,0,0,999999999
1991_households,V2013,int32,int32,4023112,0,0,0,1,13
1991_households,V2014,int32,int32,4023112,0,0,0,1,13
1991_households,V2094,int32,int32,3948914,0,0,0,0,9
1991_households,V2111,int32,int32,3948914,0,0,0,3,2400
1991_households,V2112,int32,int32,3948914,0,0,0,1,5
1991_households,V2121,int32,int32,3948914,0,0,0,100,3000
1991_households,V2122,int32,int32,3948914,0,0,0,1,7
1991_households,V7001,int32,int32,4024543,0,0,0,1,15
1991_households,V7002,int32,int32,4024543,0,0,0,1,66
1991_households,V7003,int32,int32,4024543,0,0,0,0,9
1991_households,V7004,int32,int32,4024543,0,0,0,1,5
1991_households,V7300,double,double,4024543,0,4024433,0,1,93.89719867
1991_households,iddomicilio,int32,int32,4024543,0,0,0,1,4024543
1991_population,code_region,int32,int32,17045653,0,0,0,1,5
1991_population,name_region,string,string,17045653,17045653,0,0,,
